POSTCODE,TOTAL_HOUSEHOLD_COUNT,STATE,DOMINANT_MOSAIC_GROUP,DOMINANT_MOSAIC_TYPE,MOSAIC_GROUP_A,MOSAIC_GROUP_B,MOSAIC_GROUP_C,MOSAIC_GROUP_D,MOSAIC_GROUP_E,MOSAIC_GROUP_F,MOSAIC_GROUP_G,MOSAIC_GROUP_H,MOSAIC_GROUP_I,MOSAIC_GROUP_J,MOSAIC_GROUP_K,MOSAIC_GROUP_L,MOSAIC_GROUP_M,MOSAIC_GROUP_N,MOSAIC_TYPE_A01,MOSAIC_TYPE_A02,MOSAIC_TYPE_A03,MOSAIC_TYPE_A04,MOSAIC_TYPE_B05,MOSAIC_TYPE_B06,MOSAIC_TYPE_B07,MOSAIC_TYPE_C08,MOSAIC_TYPE_C09,MOSAIC_TYPE_C10,MOSAIC_TYPE_D11,MOSAIC_TYPE_D12,MOSAIC_TYPE_D13,MOSAIC_TYPE_E14,MOSAIC_TYPE_E15,MOSAIC_TYPE_E16,MOSAIC_TYPE_F17,MOSAIC_TYPE_F18,MOSAIC_TYPE_F19,MOSAIC_TYPE_F20,MOSAIC_TYPE_G21,MOSAIC_TYPE_G22,MOSAIC_TYPE_G23,MOSAIC_TYPE_G24,MOSAIC_TYPE_H25,MOSAIC_TYPE_H26,MOSAIC_TYPE_H27,MOSAIC_TYPE_I28,MOSAIC_TYPE_I29,MOSAIC_TYPE_I30,MOSAIC_TYPE_J31,MOSAIC_TYPE_J32,MOSAIC_TYPE_J33,MOSAIC_TYPE_J34,MOSAIC_TYPE_J35,MOSAIC_TYPE_K36,MOSAIC_TYPE_K37,MOSAIC_TYPE_K38,MOSAIC_TYPE_K39,MOSAIC_TYPE_K40,MOSAIC_TYPE_L41,MOSAIC_TYPE_L42,MOSAIC_TYPE_L43,MOSAIC_TYPE_L44,MOSAIC_TYPE_M45,MOSAIC_TYPE_M46,MOSAIC_TYPE_M47,MOSAIC_TYPE_M48,MOSAIC_TYPE_N49,MOSAIC_TYPE_N50,MOSAIC_TYPE_N51,MOSAIC_TYPE_N52
0800,4179,NT,G,G22,139,1659,0,0,89,0,2011,0,215,0,0,0,0,66,0,0,0,139,0,522,1137,0,0,0,0,0,0,0,0,89,0,0,0,0,222,1445,344,0,0,0,0,32,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
0810,13511,NT,E,F17,370,599,1749,114,3165,2579,1272,609,1662,644,43,10,237,458,63,131,91,85,240,113,246,1100,637,12,25,80,9,989,510,1666,1771,162,480,166,5,1011,238,18,193,356,60,189,942,531,277,133,135,41,58,32,0,11,0,0,0,0,0,10,190,41,4,2,0,246,101,111
0812,6979,NT,F,H26,109,9,421,38,414,2444,64,1280,757,737,154,93,274,185,0,0,106,3,8,0,1,66,330,25,14,22,2,292,27,95,877,883,666,18,0,43,21,0,222,904,154,28,565,164,59,268,90,46,274,82,34,38,0,0,22,0,0,71,154,120,0,0,4,133,46,2
0820,9665,NT,B,G22,702,2269,1040,204,1283,300,1676,217,1317,227,51,1,61,317,191,103,234,174,510,650,1109,822,211,7,110,80,14,602,1,680,230,11,59,0,73,1196,407,0,194,14,9,306,475,536,8,22,163,34,0,13,0,38,0,0,1,0,0,0,49,3,0,9,25,102,112,78
0822,3642,NT,J,J35,52,0,0,80,48,179,0,6,0,1270,447,1200,201,159,0,0,48,4,0,0,0,0,0,0,38,0,42,48,0,0,11,84,83,1,0,0,0,0,6,0,0,0,0,0,0,45,0,0,1225,67,58,172,30,120,398,93,574,135,69,7,49,76,81,78,0,0
0828,521,NT,E,E15,78,0,0,13,159,0,0,132,0,17,0,10,28,84,0,0,78,0,0,0,0,0,0,0,0,0,13,24,134,1,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,2,5,3,0,1,0,0,27,14,48,0,22
0829,59,NT,L,L42,4,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,7,20,0,0,0,0,0,0,0,0
0830,7505,NT,H,H26,110,0,27,22,1329,1326,158,2333,288,1330,226,6,26,324,0,0,110,0,0,0,0,27,0,0,0,0,22,1037,219,73,147,967,212,0,0,157,1,0,915,1418,0,0,288,0,82,181,196,292,579,77,64,14,0,71,6,0,0,0,0,0,0,26,2,315,0,7
0832,7495,NT,H,H25,0,0,17,25,2783,962,282,2910,368,94,41,0,13,0,0,0,0,0,0,0,0,17,0,0,25,0,0,2180,551,52,130,648,184,0,0,280,2,0,2564,346,0,0,217,151,0,0,0,34,60,32,0,9,0,0,0,0,0,0,13,0,0,0,0,0,0,0
0834,379,NT,L,D13,47,0,3,96,24,18,0,0,0,0,0,155,35,1,0,0,47,0,0,0,0,2,1,0,41,0,55,24,0,0,7,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,53,2,49,17,18,0,0,0,1,0,0
0835,769,NT,D,L41,131,0,0,233,57,11,0,0,0,0,14,229,94,0,0,0,131,0,0,0,0,0,0,0,97,0,136,57,0,0,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,3,185,42,1,1,62,12,20,0,0,0,0,0
0836,1815,NT,L,L41,143,0,0,258,252,111,0,0,0,26,56,954,15,0,0,0,143,0,0,0,0,0,0,0,144,0,114,252,0,0,0,51,60,0,0,0,0,0,0,0,0,0,0,0,0,6,0,20,0,13,4,20,0,19,887,18,2,47,13,1,1,0,0,0,0,0
0837,91,NT,L,L44,0,0,0,0,0,0,0,0,1,0,10,71,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,4,30,37,9,0,0,0,0,0,0,0
0838,257,NT,L,L41,0,0,0,3,10,29,0,0,0,0,15,186,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,82,7,59,38,6,0,8,0,0,0,0,0
0839,143,NT,H,H25,0,0,0,0,0,0,1,93,0,0,44,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,93,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,5,0,0
0840,488,NT,K,K40,0,0,0,0,0,0,0,0,0,0,385,1,40,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,0,0,1,0,0,0,0,40,62,0,0,0
0841,387,NT,L,L41,0,0,0,0,0,0,0,0,0,0,100,285,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,43,0,49,110,6,79,90,0,0,2,0,0,0,0,0
0845,245,NT,J,K38,0,0,0,0,0,0,0,0,0,87,86,5,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,79,0,0,86,0,0,0,0,4,1,0,0,0,0,3,64,0,0
0846,173,NT,N,N50,0,0,0,0,0,0,0,0,0,0,61,20,2,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,25,0,2,16,2,0,0,0,2,33,57,0,0
